,,,,
1,菊池皮膚科クリニック,北海道札幌市北区北17条西3丁目21 プロスTJビル1F,https://www.kikuchi-hifuka.jp/,
2,麻生形成外科クリニック,北海道札幌市北区北区北40条西4丁目2番1号 麻生メディカルビル5F,https://www.asabu-keisei.jp/,
3,新琴似皮膚科スキンケアクリニック,北海道札幌市北区新琴似1条12丁目6-38,https://www.skinclinic4512.info/,
4,川村皮フ科,北海道札幌市北区新琴似八条7-1-2 雄雪ビル2F,https://www.kawamura-hifuka.com/,
5,浜岡皮膚科クリニック,北海道札幌市北区屯田7条4丁目7-34,https://www.hamaoka-hifuka.jp/,
6,栄通わたなべ内科・皮ふ科,北海道札幌市白石区栄通8-2-1,https://www.myclinic.ne.jp/s_watanabe,
7,西尾皮膚科医院,北海道札幌市白石区南郷通1丁目北1 白石メディカル3F,https://www.nishio-clinic.sakura.ne.jp/,
8,勤医協札幌病院,北海道札幌市白石区菊水4条1丁目9-22,https://www.satsubyo.com/,
9,北郷皮膚科医院,北海道札幌市白石区北郷3条8丁目5-28,https://kitagohifuka.com/,
10,いなむら皮ふ科医院,北海道札幌市厚別区上野幌3条4丁目9-14,https://inamurahifuka.or.jp/,
11,大谷地形成外科・美容外科クリニック,北海道札幌市厚別区大谷地東5-1-43,https://www.okb-clinic.com/,
12,伊東皮フ科クリニック,北海道札幌市厚別区大谷地東4丁目1-2 大谷地ターミナルメディカル2階,https://www.itoh-skin-clinic.com/,
13,上杉皮膚科医院,北海道札幌市厚別区厚別中央２条５丁目７－２ サンピアザ３Ｆ,https://www.uesugi-hifuka.or.jp/index.html,
14,たけだ皮膚科スキンケアクリニック,北海道札幌市厚別区厚別西3条6丁目700-90,https://www.takeda-skincare.com/,
15,美しが丘じんぼ皮膚科,北海道札幌市清田区美しが丘１条６丁目２－１,https://www.jimbow-hifuka.com/utsukushi/,
16,こくぶクリニック皮膚科形成外科,北海道札幌市清田区美しが丘３条２丁目３－７,https://www.kkb-c.com/,
17,(閉院) つつい皮膚科クリニック,北海道札幌市清田区平岡6条2丁目2-10 平岡メディカルセンター内,,
18,小笠原クリニック澄川診療所 皮膚科,北海道札幌市南区澄川4条3丁目5-3 小笠原クリニック澄川診療所,https://www.ogasawaraskin.com/,
19,澄川たかだ皮フ科クリニック,北海道札幌市南区澄川6条4丁目11-10,https://www.sth-cl.com/,
20,かしわぎ皮ふ科クリニック,北海道札幌市南区石山1条6-1-18 石山メディカルビル2F,https://www.myclinic.ne.jp/t_kasiwagi/pc/,
21,山中皮膚科スキンケアクリニック,北海道札幌市手稲区前田４条１１丁目６番１号 ワタナベビル２階,https://www.yamanaka-hifuka.com/,
22,いなづみ皮フ科クリニック,北海道札幌市手稲区前田6条6丁目1-1,https://www.inazumi-hifuka-clinic.jp/,
23,下田ひふ科クリニック,北海道札幌市手稲区星置１条４丁目７－２,https://kyuwakai.com/shimoda-hifuka/,
24,ひろせ皮フ科クリニック,北海道札幌市東区北４２条東１６丁目１-１ N42メディカルビル 3F,https://sakaemachi-hiroseclinic.com/,
25,札幌シーズクリニック,北海道札幌市中央区北1条西3丁目3-27 札幌北1条駅前通りビル4F,https://ci-z.jp/,
26,湘南美容クリニック 札幌院,北海道札幌市中央区北5条西2-5 JRタワーオフィスプラザさっぽろ 13F,https://www.s-b-c.net/clinic/branch/sapporo/,
27,札幌中央形成外科,北海道札幌市中央区北1条西3 ＭＮビル2Ｆ,https://www.chuokeisei.or.jp/,
28,加藤直子皮膚科スキンクリニック,北海道札幌市中央区北1条西7丁目 パシフィックマークス札幌北1条6階,https://www.web-clover.net/katonaokohihuka/,
29,東京ノーストクリニック 札幌院,北海道札幌市中央区北二条西2-33 加森ビル4Ｆ,https://tokyonorstclinic.com/map/sapporo.html,
30,緑の森皮フ科クリニック,北海道札幌市中央区北2条西3丁目 朝日生命札幌ビル5F,https://www.skin.or.jp/midori/index2.html,
31,品川スキンクリニック札幌院	（品川美容外科 札幌院と統合）,北海道札幌市中央区北4条西5-1 アスティ45ビル2F,https://www.shinagawa.com/clinic_skin_sapporo/,
32,札幌美容形成外科,北海道札幌市中央区北3条西3丁目 コンタクトオフビル3F,https://s-bi.com/,
33,赤れんが皮フ科クリニック,北海道札幌市中央区北3条西4-1 日本生命札幌ビル3F,https://www.akarenga-hifuka.jp/,
34,札幌駅前さくら形成外科,北海道札幌市中央区北4条西3丁目1番地 札幌駅前合同ビル9階,https://www.sakura-keisei.com/,
